,sensor_names,sensor_ids,city
2,Urban Launchpad,ci4yfbbdb000d03zzoq8kjdl0,San Francisco
3,GlenParklifeLogger,ci4yhy9yy000f03zznho5nm7c,San Francisco
4,ClimateNinja9000,ci4yyrdqi000j03zz8ylornqd,San Francisco
5,Exploratorium,ci4vy1tfy000m02s7v29jkkx4,San Francisco
6,Datavore,ci4lnqzte000002xpokc9d25v,San Francisco
7,Grand Theater,ci4usvy81000302s7whpk8qlp,San Francisco
8,mapsense,ci4usvryz000202s7llxjafaf,San Francisco
9,GehlData,ci4xcxxgc000n02tci92gpvi6,San Francisco
10,a-streetcar-named-data-sensor,ci4usss1t000102s7hkg0rpqg,San Francisco
11,AlleyCat,ci4tmxpz8000002w7au38un50,San Francisco
12,DataDonut,ci4yf50s5000c03zzt4h2tnsq,San Francisco
13,grapealope,ci4ut5zu5000402s7g6nihdn0,San Francisco
15,MODseeed,ci53tm6va0001032pzez19tgz,Bangalore
16,openbangalore,ci4v3czb7000502s7lnln7ztr,Bangalore
17,WRI,ci4yfgz37000e03zzg1a6o6vy,Bangalore
18,Nextdrop,ci59onqz2000103z5f90u4k78,Bangalore
19,DataBrigade,ci4yae86r000903zzsna9zh30,Bangalore
20,Laddoo,ci4xvuiqf000503zz1bah2he8,Bangalore
21,Palantir,ci4xs6uhw000403zz9za2guib,Bangalore
22,Claptrap,ci541fl410002032pbifg5o7a,Bangalore
23,sycsmlp1,ci4zftqww0002032zeskt2yuc,Bangalore
24,Geekstorm,ci4x8lumr000l02tco6291y1u,Bangalore
26,soldering defect,ci4x0rtb9000h02tcfa5qov33,Boston
27,Pineapple,ci4ooqbyw0001021o7p4qiedw,Boston
28,Sproutuino,ci4xird28000003zzz1soh9fj,Boston
29,monalisa,ci4ue1845000102w7ni64j7pl,Boston
30,SeeedSensor,ci4w1npi3000p02s7a43zws7q,Boston
31,badgersense,ci4vzm23c000o02s76ezwdgxe,Boston
32,Sparkling,ci4x1uh3q000j02tcnehaazvw,Boston
33,Euclid,ci5a6lluy000303z5d02xla24,Boston
34,firehazard,ci530o426000003v9a6uxvc2l,Boston
35,Home1,ci4rb6392000102wddchkqctq,Boston
36,theperch,ci4qaiat7000002wdidwagmmb,Boston
37,Richard,ci4vv79v9000k02s7n4avp69i,Boston
38,Gabe Sensor,ci4w3emre000002tcnpko08o3,Boston
